location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
Absecon Island: Longport,NJ,1990,39.312536,-74.523118,Federal,Navigation,0.00,250000.00,949000.00,0.56,1691622.10,3.80,#DIV/0!
Avalon,NJ,1990,39.100226,-74.71055,Local,Unknown,2500.00,404000.00,600000.00,0.56,1069518.72,1.49,161.60
Brevard County: Sebastian Inlet (South Beaches),FL,1990,27.859054,-80.446873,State,Unknown,0.00,235000.00,735450.00,0.56,1310962.57,3.13,#DIV/0!
Debidue,SC,1990,33.361942,-79.151065,Private,Unknown,10032.00,200000.00,1000000.00,0.56,1782531.19,5.00,19.94
Duval County: Kathryn Abbey Hanna Park,FL,1990,30.369913,-81.397405,Federal,Navigation,0.00,422000.00,1788136.00,0.56,3187408.20,4.24,#DIV/0!
Escambia County: Perdido Key,FL,1990,30.290515,-87.466578,Federal,Navigation,24544.00,5362597.00,12497578.00,0.56,22277322.64,2.33,218.49
Folly Beach Spit,SC,1990,32.6504324,-79.96338,Federal,Navigation,1500.00,200000.00,500000.00,0.56,891265.60,2.50,133.33
Folly Beach Spit,SC,1990,32.6504324,-79.96338,Federal,Navigation,1500.00,40000.00,100000.00,0.56,178253.12,2.50,26.67
Garden City Beach,SC,1990,33.581876,-78.993073,Federal,Emergency,13200.00,163295.00,1640000.00,0.56,2923351.16,10.04,12.37
Gilgo Beach,NY,1990,40.617373,-73.397169,Federal,Navigation,14000.00,797000.00,4882000.00,0.56,8702317.29,6.13,56.93
Hempstead Beach,NY,1990,40.831541,-73.657837,Federal,Navigation,3000.00,353000.00,2403000.00,0.56,4283422.46,6.81,117.67
Hilton Head,SC,1990,32.236644,-80.677092,Local,Unknown,34848.00,2338000.00,9700000.00,0.56,17290552.58,4.15,67.09
Jones Beach,NY,1990,40.592448,-73.51244,Federal,Navigation,1000.00,388000.00,1644068.00,0.56,2930602.50,4.24,388.00
Long Beach Island: Harvey Cedars,NJ,1990,39.705998,-74.132245,Unknown,Unknown,0.00,27300.00,34957.00,0.56,62311.94,1.28,#DIV/0!
Miami-Dade County: Bal Harbour,FL,1990,25.893705,-80.121381,Federal,Shore Protection,4488.00,230000.00,4600000.00,0.56,8199643.49,20.00,51.25
Miami-Dade County: Sunny Isles,FL,1990,25.943072,-80.119085,Unknown,Unknown,0.00,30000.00,127119.00,0.56,226593.58,4.24,#DIV/0!
Myrtle Beach,SC,1990,33.687161,-78.883097,Federal,Emergency,44880.00,380000.00,2600000.00,0.56,4634581.11,6.84,8.47
Nassau County: Fernandina Beach,FL,1990,30.669182,-81.465576,Federal,Navigation,0.00,147693.00,625818.00,0.56,1115540.11,4.24,#DIV/0!
North Indian River Inlet,DE,1990,38.606274,-75.061169,Federal,Section 111,3500.00,175000.00,2500000.00,0.56,4456327.99,14.29,50.00
North Myrtle Beach,SC,1990,33.814998,-78.679404,Federal,Emergency,42360.00,377200.00,1950000.00,0.56,3475935.83,5.17,8.90
Palm Beach County: Lake Worth Inlet (South Beach),FL,1990,26.61416,-80.036538,Federal,Navigation,0.00,75351.00,319284.00,0.56,569133.69,4.24,#DIV/0!
Pinellas County: Sand Key/Indian Rocks Beach (Phase II),FL,1990,27.892752,-82.85077,Federal,Shore Protection,13728.00,1300000.00,14500000.00,0.56,25846702.32,11.15,94.70
Sandy Hook,NJ,1990,40.455046,-73.989172,Federal,Shore Protection,0.00,3302273.00,1350000.00,0.56,2406417.11,0.41,#DIV/0!
Sea Island,GA,1990,31.179708,-81.346555,Local,Unknown,10560.00,2000000.00,6000000.00,0.56,10695187.17,3.00,189.39
Seabrook Island,SC,1990,32.559912,-80.170637,Local,Unknown,5808.00,685000.00,1660000.00,0.56,2959001.78,2.42,117.94
St. Lucie County: Ft. Pierce Beach,FL,1990,27.441207,-80.32097,Federal,Navigation,6864.00,55700.00,236017.00,0.56,420707.66,4.24,8.11
Surfside Beach,SC,1990,33.605327,-78.970928,Federal,Emergency,5000.00,70544.00,581250.00,0.56,1036096.26,8.24,14.11
